hIp1,hRs1,nbSlow,rescuedDynamicFastMed,rescuedDynamicMax,rescuedDynamicMed,rescuedDynamicMin,rescuedDynamicSlowMed,zombifiedDynamicMed
0.1,0.2,50,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.2,50,1.0,5.0,1.5,0.0,1.0,4.0
0.1,0.2,50,12.0,27.0,15.5,3.0,2.0,7.0
0.1,0.2,50,25.0,46.0,30.0,15.0,3.0,15.0
0.1,0.2,50,30.5,63.0,36.5,10.0,3.5,23.0
0.1,0.2,50,15.5,31.0,18.5,9.0,2.5,15.0
0.1,0.2,50,8.5,30.0,12.0,3.0,2.0,11.0
0.1,0.2,50,3.0,16.0,4.0,1.0,1.0,10.5
0.1,0.2,50,1.5,11.0,1.5,0.0,0.0,6.5
0.1,0.2,50,0.0,2.0,0.0,0.0,0.0,6.0
0.1,0.2,50,0.0,2.0,0.0,0.0,0.0,3.0
0.1,0.2,50,0.0,1.0,0.0,0.0,0.0,2.0
0.1,0.2,50,0.0,1.0,0.0,0.0,0.0,1.5
0.1,0.2,50,0.0,3.0,0.0,0.0,0.0,1.0
0.1,0.2,50,0.0,3.0,0.0,0.0,0.0,0.0
0.1,0.2,50,0.0,1.0,0.0,0.0,0.0,0.5
0.1,0.2,50,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.2,50,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.2,50,0.0,1.0,0.0,0.0,0.0,0.0
0.1,0.2,50,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.2,50,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.2,50,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.2,50,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.2,50,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.2,50,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.2,50,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.2,50,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.2,50,1.0,8.0,1.5,0.0,0.0,3.5
0.2,0.2,50,20.0,43.0,24.0,8.0,3.0,8.5
0.2,0.2,50,16.0,68.0,22.0,5.0,4.0,12.0
0.2,0.2,50,23.5,42.0,27.0,11.0,3.0,17.5
0.2,0.2,50,16.0,45.0,17.0,9.0,2.0,14.5
0.2,0.2,50,16.5,44.0,16.5,5.0,2.0,16.5
0.2,0.2,50,8.0,25.0,9.5,0.0,1.5,13.0
0.2,0.2,50,3.0,15.0,4.5,0.0,1.0,8.5
0.2,0.2,50,1.0,10.0,2.0,0.0,0.0,4.0
0.2,0.2,50,0.5,8.0,1.0,0.0,0.0,3.0
0.2,0.2,50,0.0,4.0,0.0,0.0,0.0,1.5
0.2,0.2,50,0.0,2.0,0.0,0.0,0.0,1.0
0.2,0.2,50,0.0,0.0,0.0,0.0,0.0,0.5
0.2,0.2,50,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.2,50,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.2,50,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.2,50,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.2,50,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.2,50,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.2,50,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.2,50,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.2,50,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.2,50,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.2,50,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.2,50,0.0,0.0,0.0,0.0,0.0,0.0
0.30000000000000004,0.2,50,0.0,0.0,0.0,0.0,0.0,0.0
0.30000000000000004,0.2,50,3.5,10.0,4.0,0.0,0.5,4.0
0.30000000000000004,0.2,50,21.5,36.0,22.5,13.0,1.5,10.0
0.30000000000000004,0.2,50,27.5,46.0,29.0,9.0,2.5,19.0
0.30000000000000004,0.2,50,26.5,59.0,29.5,13.0,3.5,15.0
0.30000000000000004,0.2,50,19.5,40.0,23.0,5.0,3.5,14.0
0.30000000000000004,0.2,50,6.5,34.0,9.5,2.0,2.5,14.5
0.30000000000000004,0.2,50,3.0,15.0,3.0,0.0,1.0,8.5
0.30000000000000004,0.2,50,1.0,10.0,1.0,0.0,0.0,6.0
0.30000000000000004,0.2,50,1.0,4.0,1.0,0.0,0.0,3.0
0.30000000000000004,0.2,50,0.0,3.0,0.0,0.0,0.0,1.5
0.30000000000000004,0.2,50,0.0,1.0,0.0,0.0,0.0,1.0
0.30000000000000004,0.2,50,0.0,1.0,0.0,0.0,0.0,1.0
0.30000000000000004,0.2,50,0.0,0.0,0.0,0.0,0.0,0.5
0.30000000000000004,0.2,50,0.0,0.0,0.0,0.0,0.0,0.0
0.30000000000000004,0.2,50,0.0,0.0,0.0,0.0,0.0,0.0
0.30000000000000004,0.2,50,0.0,0.0,0.0,0.0,0.0,0.0
0.30000000000000004,0.2,50,0.0,0.0,0.0,0.0,0.0,0.0
0.30000000000000004,0.2,50,0.0,0.0,0.0,0.0,0.0,0.0
0.30000000000000004,0.2,50,0.0,0.0,0.0,0.0,0.0,0.0
0.30000000000000004,0.2,50,0.0,0.0,0.0,0.0,0.0,0.0
0.30000000000000004,0.2,50,0.0,0.0,0.0,0.0,0.0,0.0
0.30000000000000004,0.2,50,0.0,0.0,0.0,0.0,0.0,0.0
0.30000000000000004,0.2,50,0.0,0.0,0.0,0.0,0.0,0.0
0.30000000000000004,0.2,50,0.0,0.0,0.0,0.0,0.0,0.0
0.30000000000000004,0.2,50,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0.2,50,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0.2,50,2.0,9.0,2.0,0.0,0.0,4.5
0.4,0.2,50,24.0,45.0,26.5,16.0,3.0,7.0
0.4,0.2,50,22.5,47.0,24.0,10.0,2.5,14.0
0.4,0.2,50,19.0,46.0,22.0,6.0,2.0,14.5
0.4,0.2,50,17.5,41.0,22.5,6.0,3.0,13.5
0.4,0.2,50,6.5,26.0,9.0,0.0,1.5,16.5
0.4,0.2,50,9.0,24.0,10.0,2.0,1.5,7.0
0.4,0.2,50,3.5,19.0,4.5,1.0,1.0,6.5
0.4,0.2,50,1.5,18.0,2.0,0.0,0.5,5.0
0.4,0.2,50,0.5,6.0,1.0,0.0,0.0,2.0
0.4,0.2,50,0.0,3.0,0.0,0.0,0.0,1.5
0.4,0.2,50,0.0,5.0,0.0,0.0,0.0,1.0
0.4,0.2,50,0.0,10.0,0.0,0.0,0.0,0.0
0.4,0.2,50,0.0,7.0,0.0,0.0,0.0,0.0
0.4,0.2,50,0.0,2.0,0.0,0.0,0.0,0.5
0.4,0.2,50,0.0,1.0,0.0,0.0,0.0,0.0
0.4,0.2,50,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0.2,50,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0.2,50,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0.2,50,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0.2,50,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0.2,50,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0.2,50,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0.2,50,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0.2,50,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.2,50,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.2,50,3.5,14.0,4.0,0.0,1.0,5.5
0.5,0.2,50,19.0,37.0,21.5,12.0,2.0,8.5
0.5,0.2,50,29.0,69.0,34.5,13.0,4.0,15.5
0.5,0.2,50,28.0,39.0,30.5,22.0,4.0,22.5
0.5,0.2,50,18.5,34.0,20.5,4.0,3.0,18.0
0.5,0.2,50,6.5,14.0,9.5,1.0,4.0,13.5
0.5,0.2,50,2.5,18.0,3.0,1.0,0.5,8.0
0.5,0.2,50,1.5,5.0,2.0,0.0,0.0,6.0
0.5,0.2,50,0.5,14.0,0.5,0.0,0.0,3.5
0.5,0.2,50,0.0,4.0,0.0,0.0,0.0,2.0
0.5,0.2,50,0.0,2.0,0.0,0.0,0.0,2.0
0.5,0.2,50,0.0,1.0,0.0,0.0,0.0,0.5
0.5,0.2,50,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.2,50,0.0,1.0,0.0,0.0,0.0,0.0
0.5,0.2,50,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.2,50,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.2,50,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.2,50,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.2,50,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.2,50,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.2,50,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.2,50,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.2,50,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.2,50,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.2,50,0.0,0.0,0.0,0.0,0.0,0.0
0.6,0.2,50,0.0,0.0,0.0,0.0,0.0,0.0
0.6,0.2,50,7.0,14.0,8.0,0.0,1.0,4.0
0.6,0.2,50,18.0,48.0,21.0,9.0,3.0,7.0
0.6,0.2,50,22.5,48.0,24.5,0.0,2.0,13.5
0.6,0.2,50,21.5,59.0,27.0,1.0,3.5,17.0
0.6,0.2,50,14.5,32.0,16.0,4.0,2.0,18.5
0.6,0.2,50,10.5,40.0,11.5,3.0,0.5,11.0
0.6,0.2,50,4.0,29.0,5.0,0.0,1.5,7.0
0.6,0.2,50,2.0,21.0,3.0,0.0,0.5,5.5
0.6,0.2,50,0.0,14.0,0.0,0.0,0.0,1.5
0.6,0.2,50,0.0,9.0,0.5,0.0,0.0,2.0
0.6,0.2,50,0.0,9.0,0.0,0.0,0.0,1.0
0.6,0.2,50,0.0,7.0,0.0,0.0,0.0,1.5
0.6,0.2,50,0.0,1.0,0.0,0.0,0.0,0.5
0.6,0.2,50,0.0,3.0,0.0,0.0,0.0,1.0
0.6,0.2,50,0.0,1.0,0.0,0.0,0.0,0.0
0.6,0.2,50,0.0,0.0,0.0,0.0,0.0,0.0
0.6,0.2,50,0.0,0.0,0.0,0.0,0.0,0.0
0.6,0.2,50,0.0,0.0,0.0,0.0,0.0,0.0
0.6,0.2,50,0.0,1.0,0.0,0.0,0.0,0.0
0.6,0.2,50,0.0,2.0,0.0,0.0,0.0,0.0
0.6,0.2,50,0.0,0.0,0.0,0.0,0.0,0.0
0.6,0.2,50,0.0,0.0,0.0,0.0,0.0,0.0
0.6,0.2,50,0.0,0.0,0.0,0.0,0.0,0.0
0.6,0.2,50,0.0,0.0,0.0,0.0,0.0,0.0
0.6,0.2,50,0.0,0.0,0.0,0.0,0.0,0.0
0.7000000000000001,0.2,50,0.0,0.0,0.0,0.0,0.0,0.0
0.7000000000000001,0.2,50,4.0,11.0,4.5,0.0,0.0,4.0
0.7000000000000001,0.2,50,21.0,34.0,25.5,7.0,2.0,10.0
0.7000000000000001,0.2,50,21.0,43.0,24.0,12.0,3.0,19.5
0.7000000000000001,0.2,50,15.0,48.0,17.5,7.0,3.0,20.5
0.7000000000000001,0.2,50,19.0,35.0,20.5,8.0,2.0,16.0
